"","file","total_ride","total_passenger","total_fare","mean_fare","median_fare"
"1","yellow_tripdata_2009_01.csv",14092413,23958647,144635499.11,10.2633593771343,7.9
"2","yellow_tripdata_2009_02.csv",13380122,22534692,139899398.52,10.4557640446029,8.1
"3","yellow_tripdata_2009_03.csv",14387371,24172608,154622337.54,10.7470876743222,8.2
"4","yellow_tripdata_2009_04.csv",14294783,24137048,153226139.64,10.7190252303935,8.2
"5","yellow_tripdata_2009_05.csv",14796313,25098253,160468128.68,10.8451428866097,8.2
"6","yellow_tripdata_2009_06.csv",14184249,23867354,154151357.08,10.8677841935798,8.28
"7","yellow_tripdata_2009_07.csv",13626103,23128032,148354418.16,10.8875162737284,8.28
"8","yellow_tripdata_2009_08.csv",13686520,23383293,149361433.81,10.9130322251383,8.2
"9","yellow_tripdata_2009_09.csv",13984887,23471018,155550456.23,11.1227538863918,8.5
"10","yellow_tripdata_2009_10.csv",15604551,26202049,172197906.94,11.0351080873778,8.5
"11","yellow_tripdata_2009_11.csv",14275339,24111957,165876557.23,11.6197981168783,9
"12","yellow_tripdata_2009_12.csv",14583404,24924748,169563434.51,11.6271505959788,9
