"","file","total_ride","total_passenger","total_fare","mean_fare","median_fare"
"1","yellow_tripdata_2015_01.csv",12748986,21437303,192615435.540013,15.1082945373067,11.16
"2","yellow_tripdata_2015_02.csv",12450521,20789130,191747128.990012,15.400731342086,11.75
"3","yellow_tripdata_2015_03.csv",13351609,22307408,211640851.460014,15.8513368283927,11.8
"4","yellow_tripdata_2015_04.csv",13071789,21914830,209648410.010013,16.0382339410466,11.8
"5","yellow_tripdata_2015_05.csv",13158262,22188146,216139065.330013,16.4261104794843,12.3
"6","yellow_tripdata_2015_06.csv",12324935,20729289,201861091.450012,16.3782682383315,12.3
"7","yellow_tripdata_2015_07.csv",11562783,19609108,186638728.64001,16.1413328123515,11.8
"8","yellow_tripdata_2015_08.csv",11130304,18900229,179733157.43001,16.1480906029161,11.8
"9","yellow_tripdata_2015_09.csv",11225063,18871053,185064177.55001,16.4866938875978,12.25
"10","yellow_tripdata_2015_10.csv",12315488,20614684,203433426.180012,16.5185030572885,12.3
"11","yellow_tripdata_2015_11.csv",11312676,18917116,185159354.51001,16.3674231021909,12.25
"12","yellow_tripdata_2015_12.csv",11460573,19288451,188189975.900011,16.4206428334779,12.05
