"","file","total_ride","total_passenger","total_fare","mean_fare","median_fare"
"1","yellow_tripdata_2018_01.csv",8759874,14075850,135699048.740005,15.4909818040762,11.3
"2","yellow_tripdata_2018_02.csv",8492076,13555343,131423867.580004,15.4760588082349,11.3
"3","yellow_tripdata_2018_03.csv",9430376,15101708,150558422.660006,15.9652619004799,11.62
"4","yellow_tripdata_2018_04.csv",9305515,14892488,152078740.910006,16.3428612935447,11.8
"5","yellow_tripdata_2018_05.csv",9224063,14728158,155079787.120006,16.81252471064,12.25
"6","yellow_tripdata_2018_06.csv",8713831,13920578,145174076.900005,16.6601896341575,12
"7","yellow_tripdata_2018_07.csv",7849748,12606142,130205943.190004,16.587276838696,11.8
"8","yellow_tripdata_2018_08.csv",7849134,12575506,130354164.380004,16.6074581450642,11.8
"9","yellow_tripdata_2018_09.csv",8040133,12772617,135243759.030004,16.8210848041942,12.3
"10","yellow_tripdata_2018_10.csv",8821105,13848641,149641016.830005,16.9639763759756,12.3
"11","yellow_tripdata_2018_11.csv",8145164,12845495,136786434.890005,16.793576518533,12.3
"12","yellow_tripdata_2018_12.csv",8173231,13047830,135057440.060005,16.5243635056932,11.85
