"","file","total_ride","total_passenger","total_fare","mean_fare","median_fare"
"1","yellow_tripdata_2013_01.csv",14776615,25081414,206177887.41,13.952984997579,10.5
"2","yellow_tripdata_2013_02.csv",13990176,23743784,196346621.37,14.0346069534793,10.7
"3","yellow_tripdata_2013_03.csv",15749228,26965079,226717648.6,14.3954769465526,11
"4","yellow_tripdata_2013_04.csv",15100468,25807157,221818042.8,14.6894813326315,11
"5","yellow_tripdata_2013_05.csv",15285049,26209005,230038214.93,15.0498840357005,11.4
"6","yellow_tripdata_2013_06.csv",14385456,24770685,216650954.3,15.0604161800641,11.4
"7","yellow_tripdata_2013_07.csv",13823840,23836875,204031309.18,14.7593801129064,11
"8","yellow_tripdata_2013_08.csv",12597109,21436301,190610276.9,15.1312715401605,11.3
"9","yellow_tripdata_2013_09.csv",14107693,24144682,214990401.580001,15.2392316433311,11.5
"10","yellow_tripdata_2013_10.csv",15004556,25432465,227890393.160001,15.1880797512436,11.5
"11","yellow_tripdata_2013_11.csv",14388451,24530739,214744950.82,14.9248137148328,11.3
"12","yellow_tripdata_2013_12.csv",13971118,24078648,211328661.330001,15.126109544705,11.3
